"trip_id","trip_start_timestamp","trip_end_timestamp","trip_seconds","trip_miles","pickup_community_area","dropoff_community_area","fare","tip","trip_total","shared_trip_authorized","trips_pooled"
"03cdb0cd9f61176e757d9724e6e7966dee04f9f1",2019-06-30 22:15:00,2019-06-30 22:30:00,"895","4.5131280182","33","8","10","0","12.55","FALSE","1"
"03e27b7d289b872ec444deaf1602a82103c90ff8",2019-06-30 23:00:00,2019-06-30 23:15:00,"972","4.4264044753","29","22","20","0","22.55","FALSE","1"
"03e9d00e50bc3f67dbb349af2ef4288233882715",2019-06-30 23:00:00,2019-06-30 23:15:00,"993","6.3142447854","5","32","15","0","17.55","FALSE","1"
"03f0f317c01adc00d9a3026c9f17bcdbf07f8e2e",2019-06-30 23:00:00,2019-06-30 23:30:00,"1398","16.9278367253","76","8","37.5","4","49.05","FALSE","1"
"040ab059660fd09fcd9c43e3fe072a20f909df4f",2019-06-30 23:00:00,2019-06-30 23:15:00,"443","1.3673315981","32","8","7.5","0","10.05","FALSE","1"
"0423e02423f0572f999dc3b6f92a149a86590b4d",2019-06-30 22:45:00,2019-06-30 23:30:00,"3136","6.1882500142","3","3","22.5","0","25.05","FALSE","1"
"04264f49b2b34a82806845098889c29b2e993b67",2019-06-30 23:00:00,2019-06-30 23:15:00,"506","1.6981116297","28","32","10","5","17.55","FALSE","1"
"042f099f375a5b492d143031d467c4e6bc608e92",2019-06-30 22:00:00,2019-06-30 22:15:00,"416","1.7363966278","33","32","5","0","7.55","FALSE","1"
"04450238f9ef52fab111ddc861d7a2afdc2d8f14",2019-06-30 23:00:00,2019-06-30 23:15:00,"641","4.5661398474","29","32","25","5","32.55","FALSE","1"
"044a95d44a333fe7b687566eb19f7d51d64b7d5d",2019-06-30 23:15:00,2019-06-30 23:45:00,"1774","7.2523285746","3","22","5","3","10.55","TRUE","3"
"045869b98e39535ee350972e2d81bfa2b8fb7849",2019-06-30 23:00:00,2019-06-30 23:00:00,"681","3.0185400523","28","28","15","0","17.55","FALSE","1"
"0458d85d12c5418a8d0d5ab2aa1841e462c95e7d",2019-06-30 22:15:00,2019-06-30 22:15:00,"377","1.2427291868","32","8","5","1","8.55","FALSE","1"
"04603b176732ba69496a0683eb60a86015d161e6",2019-06-30 22:00:00,2019-06-30 22:00:00,"420","1.280642","6","7","5","0","5.72","FALSE","1"
"047fc6bbf7beee1d036fa473dce1cc6a8ea4518f",2019-06-30 22:30:00,2019-06-30 22:30:00,"359","1.3513598403","7","8","5","0","7.55","FALSE","1"
"048e1943a53090cf26bb79c480937536e010d718",2019-06-30 22:15:00,2019-06-30 22:45:00,"1717","18.2385976507","76","32","32.5","0","40.05","FALSE","1"
"04900ebb9b67197c2cb90a8eead5a747cbf6c514",2019-06-30 23:00:00,2019-06-30 23:00:00,"260","1.4358030658","39","38","5","0","7.55","FALSE","1"
"0493e5fa2da248d51632560f31d56b97049dd141",2019-06-30 23:30:00,2019-06-30 23:45:00,"791","3.8969272494","28","8","15","0","17.55","FALSE","1"
"04aa5c95082a526dc49bb952a7f6abcabba9fe01",2019-06-30 23:30:00,2019-06-30 23:30:00,"247","1.3513299581","3","4","5","0","7.55","FALSE","1"
"04b3fe4506b135725ee26a179e4eeb8fe93d5a5c",2019-06-30 22:00:00,2019-06-30 22:00:00,"571","1.732708937","24","8","5","3","10.55","FALSE","1"
"04bc994fb5ab186ef2a253409dd73795b76814b4",2019-06-30 23:00:00,2019-06-30 23:00:00,"703","2.8129025628","21","19","7.5","0","10.05","FALSE","1"
"04c38692a16bd061ad10b218b2aa0721e5d3c449",2019-06-30 22:15:00,2019-06-30 22:15:00,"278","0.9455092354","6","6","5","0","7.55","FALSE","1"
"04d81d2cd503d3e9fcb3b508a7d06448fb3e45e2",2019-06-30 22:45:00,2019-06-30 23:00:00,"545","0.2056672828","6","6","5","0","7.55","FALSE","1"
"04e58cc0f013673b28f262603ce45a6f20699867",2019-06-30 22:15:00,2019-06-30 22:45:00,"1240","4.2092107613","32","7","7.5","0","10.05","TRUE","2"
"04ea14d110657d9e8e063368379141f3e4ddf32f",2019-06-30 23:30:00,2019-06-30 23:45:00,"1177","5.377797873","7","20","12.5","0","15.05","FALSE","1"
"04eabde345a9e9d8293c2e2149555fce53aeeba2",2019-06-30 23:00:00,2019-06-30 23:15:00,"1201","4.1796187879","29","8","22.5","0","25.05","FALSE","1"
"04f1f8c0e8c94f54f00340665ba858caa8aca075",2019-06-30 23:15:00,2019-06-30 23:45:00,"1171","7.1760663094","32","3","12.5","0","15.05","FALSE","1"
"04faecda83e7512b78580ded5ae05fea1d4463ea",2019-06-30 22:45:00,2019-06-30 22:45:00,"629","2.011552822","28","8","7.5","0","10.05","FALSE","1"
"04fc315741ba556efbfed4d880fbc10c010444a8",2019-06-30 23:30:00,2019-06-30 23:45:00,"387","0.9214331059","28","32","5","0","7.55","FALSE","1"
"0507b794043aa4c0548105a9553e9e3e90878516",2019-06-30 22:45:00,2019-06-30 22:45:00,"575","2.7357583847","1","3","7.5","0","10.05","FALSE","1"
"0509457107942b0403a9da1d4996a96387a2232a",2019-06-30 22:00:00,2019-06-30 22:00:00,"428","1.7790347996","24","22","5","0","7.55","FALSE","1"
"0512229215e730cfda34222b01dcc17319600f9c",2019-06-30 23:45:00,2019-06-30 23:45:00,"246","0.8720878429","8","8","2.5","0","5.05","FALSE","1"
"051fe7fc16773f36317159dda96933d119beaafb",2019-06-30 23:30:00,2019-06-30 23:45:00,"1018","7.4217124005","28","6","12.5","1","16.05","FALSE","1"
"0524eb46895c7a2a932edd7d8eb4f45b05d3d432",2019-06-30 22:00:00,2019-06-30 22:15:00,"1205","5.0731038044","4","24","5","0","7.55","TRUE","4"
"052ea955a2b30f17982a4319f0026495220bea80",2019-06-30 23:15:00,2019-06-30 23:45:00,"1417","5.0257471896","15","6","20","0","22.85","FALSE","1"
"0534ec7f1f609951287573ef7a97c972f5323142",2019-06-30 23:15:00,2019-06-30 23:45:00,"1296","13.3002653497","56","8","37.5","0","45.35","FALSE","1"
"05380c32cc47642e7ce6d1c2fde2477689f97f0b",2019-06-30 22:30:00,2019-06-30 22:30:00,"75","0.0944084322","32","32","5","1","8.55","FALSE","1"
"053b1a4675786a8a84c927b6b238de8667e3857b",2019-06-30 22:15:00,2019-06-30 22:30:00,"1080","4.8878095608","29","32","17.5","0","20.05","FALSE","1"
"0543058aa961b47c0cebac2e22fa66caa1a639f2",2019-06-30 22:15:00,2019-06-30 22:45:00,"1792","6.5132654946","1","7","7.5","0","10.05","TRUE","2"
"054b1abb586db3049facf39470c2661c6647bfb3",2019-06-30 22:45:00,2019-06-30 23:00:00,"939","4.7908078575","24","25","10","0","12.96","FALSE","1"
"055901b2b3dc960e24e5f84635ba889b2e7a21b6",2019-06-30 22:30:00,2019-06-30 22:30:00,"401","1.2426568546","32","32","5","3","10.55","FALSE","1"
"055cdea24dda0a15534b34fe5a0b4530d49dd425",2019-06-30 22:30:00,2019-06-30 22:45:00,"793","5.0989597899","8","31","10","0","12.55","FALSE","1"
"057e01f5467037ccab907234cecf976cb6ef130e",2019-06-30 22:00:00,2019-06-30 22:15:00,"835","4.5298297868","29","28","12.5","0","15.21","FALSE","1"
"0583a1f8e38b09b793b8b11e6aaa4fbb6c20d93f",2019-06-30 22:00:00,2019-06-30 22:00:00,"525","1.3922619478","8","32","5","0","7.55","FALSE","1"
